Rk,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
Patrick Mahomes
Patrick Mahomes
Patrick Mahomes,2022-09-25,3,3,27.008,KAN,@,IND,L 17-20,*,20,35,57.14,262,1,1,78.5,1,5,7.49,6.77,4,26,6.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%
Patrick Mahomes,2022-10-02,4,4,27.015,KAN,@,TAM,W 41-31,*,23,37,62.16,249,3,1,97.7,3,21,6.73,7.14,4,34,8.50,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,80,100%,0,0%,0,0%
Patrick Mahomes,2022-10-10,5,5,27.023,KAN,,LVR,W 30-29,*,29,43,67.44,292,4,0,117.6,3,27,6.79,8.65,4,28,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%
Patrick Mahomes,2022-10-16,6,6,27.029,KAN,,BUF,L 20-24,*,25,40,62.50,338,2,2,85.2,3,19,8.45,7.20,4,21,5.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%
Patrick Mahomes,2022-10-23,7,7,27.036,KAN,@,SFO,W 44-23,*,25,34,73.53,423,3,1,132.4,1,6,12.44,12.88,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,58,91%,0,0%,0,0%
Patrick Mahomes,2022-11-06,8,9,27.050,KAN,,TEN,W 20-17,*,43,68,63.24,446,1,1,80.9,4,24,6.56,6.19,6,63,10.50,1,0,0,0,,0,0.0%,,1,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,100,100%,0,0%,0,0%
Patrick Mahomes,2022-11-13,9,10,27.057,KAN,,JAX,W 27-17,*,26,35,74.29,331,4,1,129.6,0,0,9.46,10.46,7,39,5.57,0,0,0,0,,0,0.0%,,,0,0,0.0,0,1,1,0,0,1,0,0,1,-3,0,63,100%,0,0%,0,0%
Patrick Mahomes,2022-11-20,10,11,27.064,KAN,@,LAC,W 30-27,*,20,34,58.82,329,3,0,120.8,1,7,9.68,11.44,4,23,5.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,65,100%,0,0%,0,0%
Patrick Mahomes,2022-11-27,11,12,27.071,KAN,,LAR,W 26-10,*,27,42,64.29,320,1,1,85.4,0,0,7.62,7.02,4,36,9.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%
Patrick Mahomes,2022-12-04,12,13,27.078,KAN,@,CIN,L 24-27,*,16,27,59.26,223,1,0,98.2,2,12,8.26,9.00,2,9,4.50,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,55,100%,0,0%,0,0%
